tipo,dimensione,K,chunk,memoria_MB,tempo_somma_sec,tempo_real_sec,tempo_user_sec,tempo_sys_sec
sequenziale,100,N/A,N/A,0.08,0.000026,0.001000,0.001000,0.000000
parallelo,100,1,10,0.08,0.000027,0.001000,0.000000,0.001000
parallelo,100,2,5,0.08,0.000040,0.001000,0.001000,0.000000
parallelo,200,5,2,0.08,0.000026,0.001000,0.001000,0.000000
sequenziale,200,N/A,N/A,0.31,0.000103,0.002000,0.002000,0.000000
parallelo,200,1,20,0.31,0.000113,0.002000,0.001000,0.001000
parallelo,200,2,10,0.31,0.000106,0.002000,0.002000,0.000000
parallelo,500,5,4,0.31,0.000106,0.002000,0.002000,0.000000
sequenziale,500,N/A,N/A,1.91,0.000649,0.010000,0.006000,0.004000
parallelo,500,1,50,1.91,0.000684,0.009000,0.006000,0.003000
parallelo,500,2,25,1.91,0.000648,0.010000,0.006000,0.005000
parallelo,1000,5,10,1.91,0.000670,0.008000,0.006000,0.002000
sequenziale,1000,N/A,N/A,7.63,0.005345,0.041000,0.025000,0.016000
parallelo,1000,1,100,7.63,0.005882,0.041000,0.024000,0.017000
parallelo,1000,2,50,7.63,0.005516,0.053000,0.026000,0.027000
parallelo,2000,5,20,7.63,0.003178,0.028000,0.024000,0.004000
sequenziale,2000,N/A,N/A,30.52,0.039896,0.185000,0.095000,0.090000
parallelo,2000,1,200,30.52,0.047505,0.170000,0.091000,0.079000
parallelo,2000,2,100,30.52,0.032834,0.248000,0.090000,0.158000
parallelo,5000,5,40,30.52,0.046406,0.185000,0.093000,0.091000
sequenziale,5000,N/A,N/A,190.73,0.343120,1.480000,0.605000,0.875000
parallelo,5000,1,500,190.73,0.111086,0.853000,0.568000,0.286000
parallelo,5000,2,250,190.73,0.122725,0.779000,0.585000,0.193000
parallelo,10000,5,100,190.73,0.098020,0.739000,0.586000,0.153000
sequenziale,10000,N/A,N/A,762.94,3.248231,7.443000,2.719000,4.721000
parallelo,10000,1,1000,762.94,0.762713,3.393000,2.466000,0.927000
parallelo,10000,2,500,762.94,0.536581,3.084000,2.336000,0.748000
parallelo,10000,5,200,762.94,0.436531,2.782000,2.276000,0.506000